authorSource,authorDest,score
"b'Park, HW'","b'Danowski, JA'",4.19180654857877
"b'Narin, F'","b'Breitzman, T'",4.19180654857877
"b'Milisproost, G'","b'Araujo-ruiz, JA'",4.19180654857877
"b'Mallik, M'","b'Lewison, G'",4.19180654857877
"b'Luukkonen, T'","b'Aksnes, DW'",4.19180654857877
"b'Leydesdorff, L'","b'Gurjeva, LG'",4.19180654857877
"b'Leydesdorff, L'","b'De Vries, R'",4.19180654857877
"b'Laudel, G'","b'Butler, L'",4.19180654857877
"b'Kim, CS'","b'Danowski, JA'",4.19180654857877
"b'Ingwersen, P'","b'Clausen, H'",4.19180654857877
"b'Hooten, PA'","b'Harsanyi, MA'",4.19180654857877
"b'Hooten, PA'","b'Cheng, YR'",4.19180654857877
"b'Havemann, F'","b'Glanzel, W'",4.19180654857877
"b'Harsanyi, MA'","b'Cheng, YR'",4.19180654857877
"b'Gurjeva, LG'","b'De Vries, R'",4.19180654857877
"b'Glaser, J'","b'Bourke, P'",4.19180654857877
"b'Delgado-lopez-cozar, E'","b'Corrochano, MD'",4.19180654857877
"b'Davenport, E'","b'Bonzi, S'",4.19180654857877
"b'Cronin, B'","b'Bonzi, S'",4.19180654857877
"b'Corrochano, MD'","b'Contreras, EJ'",4.19180654857877
"b'Clausen, H'","b'Christensen, FH'",4.19180654857877
"b'Zhu, XY'","b'Wang, B'",3.321928094887362
"b'Zhang, JG'","b'Wang, B'",3.321928094887362
"b'Wilkinson, D'","b'Vaughan, L'",3.321928094887362
"b'Wilkinson, D'","b'Smith, AG'",3.321928094887362
"b'Wilkinson, D'","b'Cothey, V'",3.321928094887362
"b'Whitlow, ES'","b'Stevens, KA'",3.321928094887362
"b'Whitlow, ES'","b'Olivastro, D'",3.321928094887362
"b'Whitlow, ES'","b'Hamilton, KS'",3.321928094887362
"b'Wang, B'","b'Chen, DQ'",3.321928094887362
"b'Vera, MI'","b'Garfield, E'",3.321928094887362
"b'Taxt, RE'","b'Sivertsen, G'",3.321928094887362
"b'Taxt, RE'","b'Seglen, PO'",3.321928094887362
"b'Taxt, RE'","b'Olsen, TB'",3.321928094887362
"b'Stevens, KA'","b'Hamilton, KS'",3.321928094887362
"b'Sivertsen, G'","b'Seglen, PO'",3.321928094887362
"b'Sivertsen, G'","b'Olsen, TB'",3.321928094887362
"b'Shirabe, M'","b'Saitoh, Y'",3.321928094887362
"b'Shirabe, M'","b'Niwa, F'",3.321928094887362
"b'Shirabe, M'","b'Kobayashi, S'",3.321928094887362
"b'Saitoh, Y'","b'Niwa, F'",3.321928094887362
"b'Rousseau, R'","b'Bookstein, A'",3.321928094887362
"b'Rousseau, R'","b'Bentamar, D'",3.321928094887362
"b'Rey-rocha, J'","b'Rey, J'",3.321928094887362
"b'Rey-rocha, J'","b'Plaza, LM'",3.321928094887362
"b'Rey, J'","b'Garzon-garcia, B'",3.321928094887362
"b'Plaza, LM'","b'Mendez, I'",3.321928094887362
"b'Plaza, LM'","b'Ibanez, JJ'",3.321928094887362
"b'Plaza, LM'","b'Garzon-garcia, B'",3.321928094887362
"b'Olivastro, D'","b'Hamilton, KS'",3.321928094887362
"b'Niwa, F'","b'Kobayashi, S'",3.321928094887362
"b'Meyer, JB'","b'Arvanitis, R'",3.321928094887362
"b'Mendez, I'","b'Martin-sempere, MJ'",3.321928094887362
"b'Martin-sempere, MJ'","b'Ibanez, JJ'",3.321928094887362
"b'Markusova, VA'","b'Garvey, WD'",3.321928094887362
"b'Krauskopf, V'","b'Garfield, E'",3.321928094887362
"b'Krauskopf, M'","b'Garfield, E'",3.321928094887362
"b'Granes, J'","b'Arvanitis, R'",3.321928094887362
"b'Gilyarevskii, RS'","b'Garvey, WD'",3.321928094887362
"b'Garvey, WD'","b'Cherny, AI'",3.321928094887362
"b'Egghe, L'","b'Bookstein, A'",3.321928094887362
"b'Egghe, L'","b'Bentamar, D'",3.321928094887362
"b'Charum, J'","b'Arvanitis, R'",3.321928094887362
"b'Bookstein, A'","b'Bentamar, D'",3.321928094887362
"b'Zimmermann, E'","b'Van Hulle, MM'",2.861353116146786
"b'Yuthavong, Y'","b'Cronin, B'",2.861353116146786
"b'Yue, WP'","b'Osareh, F'",2.861353116146786
"b'Yue, WP'","b'Markusova, VA'",2.861353116146786
"b'Yue, WP'","b'Hood, WW'",2.861353116146786
"b'Yue, WP'","b'Davis, M'",2.861353116146786
"b'Yitzhaki, M'","b'Wright, B'",2.861353116146786
"b'Yitzhaki, M'","b'Stephens, D'",2.861353116146786
"b'Yitzhaki, M'","b'Oneill, E'",2.861353116146786
"b'Yitzhaki, M'","b'Dillon, M'",2.861353116146786
"b'Wright, B'","b'Stephens, D'",2.861353116146786
"b'Wright, B'","b'Oneill, E'",2.861353116146786
"b'Wright, B'","b'Dillon, M'",2.861353116146786
"b'Wilson, CS'","b'Liang, LM'",2.861353116146786
"b'Wilson, CS'","b'Guo, YZ'",2.861353116146786
"b'Weingart, P'","b'Todorov, R'",2.861353116146786
"b'Weingart, P'","b'Schwechheimer, H'",2.861353116146786
"b'Weingart, P'","b'Glanzel, W'",2.861353116146786
"b'Verbeek, A'","b'Van Hulle, MM'",2.861353116146786
"b'Vargas-quesada, B'","b'Del Castillo, JM'",2.861353116146786
"b'Van Hulle, MM'","b'Debackere, K'",2.861353116146786
"b'Van Hulle, MM'","b'Andries, P'",2.861353116146786
"b'Urdin, MC'","b'Rey, J'",2.861353116146786
"b'Urdin, MC'","b'Martin-sempere, MJ'",2.861353116146786
"b'Urdin, MC'","b'Albert, A'",2.861353116146786
"b'Todorov, R'","b'Sehringer, R'",2.861353116146786
"b'Todorov, R'","b'Schwechheimer, H'",2.861353116146786
"b'Todorov, R'","b'Glanzel, W'",2.861353116146786
