authorSource,authorDest,score
"b'Tuunanen, T'","b'Smith, C'",4.738776049560773
"b'Tuunanen, T'","b'Smith, A'",4.738776049560773
"b'Tuunanen, T'","b'Pfeil, KM'",4.738776049560773
"b'Tuunanen, T'","b'Malpohl, G'",4.738776049560773
"b'Tuunanen, T'","b'Leydesdorff, L'",4.738776049560773
"b'Tuunanen, T'","b'Karypis, G'",4.738776049560773
"b'Tuunanen, T'","b'Humenik, JA'",4.738776049560773
"b'Tuunanen, T'","b'Del Rio, JA'",4.738776049560773
"b'Tuunanen, T'","b'Cortes, HD'",4.738776049560773
"b'Smith, C'","b'Bowles, CA'",4.738776049560773
"b'Smith, A'","b'Bowles, CA'",4.738776049560773
"b'Pfeil, KM'","b'Bowles, CA'",4.738776049560773
"b'Malpohl, G'","b'Bowles, CA'",4.738776049560773
"b'Leydesdorff, L'","b'Bowles, CA'",4.738776049560773
"b'Karypis, G'","b'Bowles, CA'",4.738776049560773
"b'Humenik, JA'","b'Bowles, CA'",4.738776049560773
"b'Del Rio, JA'","b'Bowles, CA'",4.738776049560773
"b'Cortes, HD'","b'Bowles, CA'",4.738776049560773
"b'Van Looy, B'","b'De Moor, B'",4.570194417876937
"b'Yoon, B'","b'Kim, HG'",4.19180654857877
"b'Yoon, B'","b'Jeong, S'",4.19180654857877
"b'Yi, H'","b'Huang, Y'",4.19180654857877
"b'Xi, Z'","b'Ho, YS'",4.19180654857877
"b'Xi, Z'","b'Ao, XL'",4.19180654857877
"b'Wilkinson, D'","b'Robinson, S'",4.19180654857877
"b'Wilkinson, D'","b'Barjak, F'",4.19180654857877
"b'Visser, MS'","b'Anegon, FD'",4.19180654857877
"b'Vaughan, L'","b'Shachaf, P'",4.19180654857877
"b'Vaughan, L'","b'Cronin, B'",4.19180654857877
"b'Upham, P'","b'Kushmerick, A'",4.19180654857877
"b'Upham, P'","b'Benson, D'",4.19180654857877
"b'Thijs, B'","b'Leydesdorff, L'",4.19180654857877
"b'Sunen-pinyol, E'","b'Mendez-vasquez, RI'",4.19180654857877
"b'Shachaf, P'","b'Cronin, B'",4.19180654857877
"b'Sancho, R'","b'Bordons, M'",4.19180654857877
"b'Roy, A'","b'Koley, S'",4.19180654857877
"b'Rousseau, R'","b'Nicholas, D'",4.19180654857877
"b'Rousseau, R'","b'Lelu, A'",4.19180654857877
"b'Robinson, S'","b'Kretschmer, H'",4.19180654857877
"b'Ramanana-rahary, S'","b'Lelu, A'",4.19180654857877
"b'Pepe, A'","b'De Sompel, HV'",4.19180654857877
